"Population by Five Years Age Group","Number"
"0-4",""
"Female","33661"
"Male","35334"
"10-14",""
"Female","42666"
"Male","44989"
"15-19",""
"Female","28993"
"Male","31044"
"20-24",""
"Female","27178"
"Male","20982"
"25-29",""
"Female","27198"
"Male","19677"
"30-34",""
"Female","24195"
"Male","16539"
"35-39",""
"Female","21823"
"Male","17775"
"40-44",""
"Female","17427"
"Male","15136"
"45-49",""
"Female","14499"
"Male","14316"
"50-54",""
"Female","11593"
"Male","12326"
"55-59",""
"Female","10252"
"Male","11205"
"5-9",""
"Female","43374"
"Male","45116"
"60-64",""
"Female","9489"
"Male","9788"
"65-69",""
"Female","6621"
"Male","7033"
"70-74",""
"Female","4520"
"Male","4843"
"75+",""
"Female","3738"
"Male","3998"
