"Agricultural land use area","Hectare"
"Area under arable land","71981.84"
"Area under meadows and pasture","107.69"
"Area under permanent crops","3591.80"
"Area under Temporary crops","71657.14"
"Area under temporary fallow","249.58"
"Area under temporary meadows","75.12"
"Other land","2756.93"
"Ponds","212.37"
"Woodland and forest","146.87"
