"Number of households by type of outer wall","Number"
"BambooWall","302"
"Cement Bonded Bricks/Stone Wall","2432"
"Mud Bonded Bricks/Stone Wall","1724"
"Not Stated about Wall","28"
"Other Type Wall","1332"
"Unbaked Bricks","620"
"Wood/Planks","646"
"Total","7084"
