"Population by Caste Ethinicity","Number"
"Badi",""
"Female","33"
"Male","30"
"","63"
"Bangali",""
"Female","16"
"Male","17"
"","33"
"Baraee",""
"Female","5"
"Male","6"
"","11"
"Brahman - Hill",""
"Female","3564"
"Male","2809"
"","6373"
"Brahman - Tarai",""
"Female","12"
"Male","10"
"","22"
"Chamar/ Harijan/ Ram",""
"Female","35"
"Male","35"
"","70"
"Chhantyal/Chhantel",""
"Female","14"
"Male","11"
"","25"
"Chhetri",""
"Female","2265"
"Male","1740"
"","4005"
"Dalit Others",""
"Female","20"
"Male","12"
"","32"
"Damai/Dholi",""
"Female","520"
"Male","437"
"","957"
"Dhobi",""
"Female","16"
"Male","21"
"","37"
"Dusadh/ Pasawan/ Pasi",""
"Female","30"
"Male","32"
"","62"
"Gaine",""
"Female","49"
"Male","44"
"","93"
"Gharti/Bhujel",""
"Female","57"
"Male","34"
"","91"
"Gurung",""
"Female","232"
"Male","180"
"","412"
"Hajam/Thakur",""
"Female","37"
"Male","40"
"","77"
"Kahar",""
"Female","24"
"Male","21"
"","45"
"Kalwar",""
"Female","21"
"Male","19"
"","40"
"Kami",""
"Female","1908"
"Male","1482"
"","3390"
"Kathabaniyan",""
"Female","8"
"Male","4"
"","12"
"Kewat",""
"Female","117"
"Male","128"
"","245"
"Kumal",""
"Female","69"
"Male","64"
"","133"
"Lodh",""
"Female","387"
"Male","382"
"","769"
"Lohar",""
"Female","44"
"Male","45"
"","89"
"Magar",""
"Female","5564"
"Male","4339"
"","9903"
"Majhi",""
"Female","52"
"Male","58"
"","110"
"Mallaha",""
"Female","91"
"Male","95"
"","186"
"Musahar",""
"Female","59"
"Male","51"
"","110"
"Musalman",""
"Female","87"
"Male","81"
"","168"
"Newar",""
"Female","125"
"Male","125"
"","250"
"Others",""
"Female","19"
"Male","17"
"","36"
"Rai",""
"Female","20"
"Male","15"
"","35"
"Sanyasi/Dasnami",""
"Female","103"
"Male","71"
"","174"
"Sarki",""
"Female","157"
"Male","155"
"","312"
"Sonar",""
"Female","17"
"Male","5"
"","22"
"Tamang",""
"Female","25"
"Male","11"
"","36"
"Teli",""
"Female","23"
"Male","24"
"","47"
"Thakali",""
"Female","23"
"Male","20"
"","43"
"Thakuri",""
"Female","103"
"Male","74"
"","177"
"Tharu",""
"Female","2081"
"Male","1935"
"","4016"
"Yadav",""
"Female","175"
"Male","186"
"","361"
