"Population by Mother tongue","Number"
"Avadhi",""
"Female","286"
"Male","299"
"","585"
"Bhojpuri",""
"Female","950"
"Male","956"
"","1906"
"Gurung",""
"Female","144"
"Male","118"
"","262"
"Magar",""
"Female","1755"
"Male","1385"
"","3140"
"Maithili",""
"Female","77"
"Male","76"
"","153"
"Nepali",""
"Female","13047"
"Male","10254"
"","23301"
"Newar",""
"Female","48"
"Male","49"
"","97"
"Others",""
"Female","33"
"Male","23"
"","56"
"Rai",""
"Female","16"
"Male","10"
"","26"
"Thakali",""
"Female","5"
"Male","7"
"","12"
"Tharu",""
"Female","1846"
"Male","1688"
"","3534"
