"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","87"
"Male","76"
"Brahman - Hill",""
"Female","843"
"Male","720"
"Chhetri",""
"Female","2600"
"Male","2170"
"Dalit Others",""
"Female","136"
"Male","101"
"Damai/Dholi",""
"Female","352"
"Male","288"
"Gurung",""
"Female","414"
"Male","321"
"Kami",""
"Female","1559"
"Male","1359"
"Magar",""
"Female","1556"
"Male","1486"
"Marwadi",""
"Female","8"
"Male","3"
"Others",""
"Female","22"
"Male","12"
"Sanyasi/Dasnami",""
"Female","217"
"Male","211"
"Sarki",""
"Female","457"
"Male","359"
"Thakuri",""
"Female","2093"
"Male","1827"
