"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","25"
"Male","29"
"Brahman - Hill",""
"Female","116"
"Male","108"
"Chhetri",""
"Female","3686"
"Male","3850"
"Damai/Dholi",""
"Female","204"
"Male","211"
"Gharti/Bhujel",""
"Female","12"
"Male","5"
"Kami",""
"Female","1919"
"Male","1994"
"Magar",""
"Female","597"
"Male","556"
"Newar",""
"Female","10"
"Male","5"
"Others",""
"Female","12"
"Male","5"
"Sanyasi/Dasnami",""
"Female","180"
"Male","168"
"Sarki",""
"Female","260"
"Male","265"
"Thakuri",""
"Female","1941"
"Male","1925"
