"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","6"
"Cow Dung","5"
"Electricity","0"
"Kerosene","17"
"LP Gas","4"
"Not stated","12"
"Others","0"
"Wood/Firewood","3760"
"Total","3804"
