"Population by Five Years Age Group","Number"
"0-4",""
"Female","785"
"Male","765"
"10-14",""
"Female","1163"
"Male","1162"
"15-19",""
"Female","1185"
"Male","1105"
"20-24",""
"Female","886"
"Male","562"
"25-29",""
"Female","702"
"Male","414"
"30-34",""
"Female","508"
"Male","358"
"35-39",""
"Female","535"
"Male","342"
"40-44",""
"Female","535"
"Male","387"
"45-49",""
"Female","464"
"Male","379"
"50-54",""
"Female","451"
"Male","369"
"55-59",""
"Female","349"
"Male","339"
"5-9",""
"Female","1013"
"Male","1010"
"60-64",""
"Female","311"
"Male","288"
"65-69",""
"Female","245"
"Male","208"
"70-74",""
"Female","174"
"Male","187"
"75+",""
"Female","273"
"Male","246"
