"Population by Five Years Age Group","Number"
"0-4",""
"Female","1001"
"Male","1045"
"10-14",""
"Female","1212"
"Male","1273"
"15-19",""
"Female","794"
"Male","772"
"20-24",""
"Female","846"
"Male","640"
"25-29",""
"Female","832"
"Male","702"
"30-34",""
"Female","750"
"Male","559"
"35-39",""
"Female","575"
"Male","603"
"40-44",""
"Female","471"
"Male","462"
"45-49",""
"Female","407"
"Male","399"
"50-54",""
"Female","276"
"Male","356"
"55-59",""
"Female","287"
"Male","275"
"5-9",""
"Female","1465"
"Male","1473"
"60-64",""
"Female","284"
"Male","273"
"65-69",""
"Female","240"
"Male","214"
"70-74",""
"Female","167"
"Male","175"
"75+",""
"Female","97"
"Male","131"
