"Population by Five Years Age Group","Number"
"0-4",""
"Female","3975"
"Male","4230"
"10-14",""
"Female","5459"
"Male","5659"
"15-19",""
"Female","4792"
"Male","4082"
"20-24",""
"Female","4028"
"Male","2926"
"25-29",""
"Female","3441"
"Male","2612"
"30-34",""
"Female","2646"
"Male","1927"
"35-39",""
"Female","2381"
"Male","1863"
"40-44",""
"Female","1920"
"Male","1515"
"45-49",""
"Female","1526"
"Male","1238"
"50-54",""
"Female","1195"
"Male","1018"
"55-59",""
"Female","979"
"Male","929"
"5-9",""
"Female","5079"
"Male","5355"
"60-64",""
"Female","1191"
"Male","911"
"65-69",""
"Female","654"
"Male","643"
"70-74",""
"Female","452"
"Male","476"
"75+",""
"Female","449"
"Male","456"
