"Number of households by type of outer wall","Number"
"BambooWall","4681"
"Cement Bonded Bricks/Stone Wall","2445"
"Mud Bonded Bricks/Stone Wall","360"
"Not Stated about Wall","111"
"Other Type Wall","120"
"Unbaked Bricks","4"
"Wood/Planks","54"
"Total","7775"
