"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","7424"
"Male","5121"
"Brahman - Tarai",""
"Female","125"
"Male","88"
"Chhetri",""
"Female","1437"
"Male","930"
"Damai/Dholi",""
"Female","447"
"Male","319"
"Gharti/Bhujel",""
"Female","19"
"Male","14"
"Kami",""
"Female","1694"
"Male","1158"
"Kumal",""
"Female","1112"
"Male","894"
"Lohar",""
"Female","12"
"Male","11"
"Magar",""
"Female","833"
"Male","562"
"Musalman",""
"Female","314"
"Male","229"
"Newar",""
"Female","670"
"Male","445"
"Others",""
"Female","21"
"Male","11"
"Sanyasi/Dasnami",""
"Female","56"
"Male","44"
"Sarki",""
"Female","608"
"Male","413"
"Terai Others",""
"Female","10"
"Male","7"
"Thakuri",""
"Female","182"
"Male","125"
