"Population by Single Year of Age","Number"
"0",""
"Female","1535"
"Male","1535"
"1",""
"Female","1468"
"Male","1445"
"10",""
"Female","2743"
"Male","2750"
"11",""
"Female","2020"
"Male","1887"
"12",""
"Female","2798"
"Male","2851"
"13",""
"Female","2107"
"Male","2066"
"14",""
"Female","2354"
"Male","2219"
"15",""
"Female","2097"
"Male","1892"
"16",""
"Female","2150"
"Male","1858"
"17",""
"Female","1681"
"Male","1310"
"18",""
"Female","2308"
"Male","1819"
"19",""
"Female","1414"
"Male","1073"
"2",""
"Female","1891"
"Male","1922"
"20",""
"Female","1762"
"Male","1345"
"21",""
"Female","1452"
"Male","1058"
"22",""
"Female","1844"
"Male","1446"
"23",""
"Female","1320"
"Male","981"
"24",""
"Female","1379"
"Male","990"
"25",""
"Female","1684"
"Male","1311"
"26",""
"Female","1269"
"Male","971"
"27",""
"Female","1089"
"Male","920"
"28",""
"Female","1448"
"Male","1268"
"29",""
"Female","669"
"Male","654"
"3",""
"Female","2072"
"Male","1989"
"30",""
"Female","1911"
"Male","1407"
"31",""
"Female","564"
"Male","482"
"32",""
"Female","1150"
"Male","958"
"33",""
"Female","698"
"Male","596"
"34",""
"Female","627"
"Male","546"
"35",""
"Female","1854"
"Male","1491"
"36",""
"Female","756"
"Male","701"
"37",""
"Female","466"
"Male","407"
"38",""
"Female","822"
"Male","797"
"39",""
"Female","409"
"Male","332"
"4",""
"Female","2245"
"Male","2309"
"40",""
"Female","1846"
"Male","1446"
"41",""
"Female","410"
"Male","381"
"42",""
"Female","687"
"Male","647"
"43",""
"Female","437"
"Male","404"
"44",""
"Female","419"
"Male","346"
"45",""
"Female","1335"
"Male","1113"
"46",""
"Female","420"
"Male","388"
"47",""
"Female","303"
"Male","303"
"48",""
"Female","699"
"Male","677"
"49",""
"Female","287"
"Male","272"
"5",""
"Female","2446"
"Male","2356"
"50",""
"Female","1290"
"Male","1185"
"51",""
"Female","262"
"Male","286"
"52",""
"Female","471"
"Male","538"
"53",""
"Female","249"
"Male","292"
"54",""
"Female","214"
"Male","263"
"55",""
"Female","795"
"Male","763"
"56",""
"Female","302"
"Male","363"
"57",""
"Female","218"
"Male","275"
"58",""
"Female","370"
"Male","366"
"59",""
"Female","189"
"Male","235"
"6",""
"Female","2377"
"Male","2363"
"60",""
"Female","1084"
"Male","963"
"61",""
"Female","235"
"Male","245"
"62",""
"Female","304"
"Male","341"
"63",""
"Female","176"
"Male","216"
"64",""
"Female","157"
"Male","163"
"65",""
"Female","561"
"Male","502"
"66",""
"Female","144"
"Male","163"
"67",""
"Female","126"
"Male","172"
"68",""
"Female","178"
"Male","281"
"69",""
"Female","84"
"Male","106"
"7",""
"Female","2223"
"Male","2123"
"70",""
"Female","401"
"Male","385"
"71",""
"Female","74"
"Male","80"
"72",""
"Female","133"
"Male","182"
"73",""
"Female","45"
"Male","69"
"74",""
"Female","36"
"Male","49"
"75",""
"Female","143"
"Male","117"
"76",""
"Female","41"
"Male","55"
"77",""
"Female","35"
"Male","44"
"78",""
"Female","51"
"Male","77"
"79",""
"Female","24"
"Male","50"
"8",""
"Female","2545"
"Male","2599"
"80",""
"Female","124"
"Male","92"
"81",""
"Female","11"
"Male","26"
"82",""
"Female","17"
"Male","31"
"83",""
"Female","11"
"Male","24"
"84",""
"Female","11"
"Male","12"
"85",""
"Female","89"
"Male","75"
"9",""
"Female","2059"
"Male","2089"
