"Agricultural land use area","Hectare"
"Area under arable land","8746.24"
"Area under meadows and pasture","475.12"
"Area under permanent crops","3086.49"
"Area under Temporary crops","8281.60"
"Area under temporary fallow","384.25"
"Area under temporary meadows","80.40"
"Other land","649.55"
"Ponds","0.16"
"Woodland and forest","458.97"
