"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","816"
"Male","747"
"","1563"
"Chhetri",""
"Female","91"
"Male","83"
"","174"
"Damai/Dholi",""
"Female","201"
"Male","149"
"","350"
"Gharti/Bhujel",""
"Female","8"
"Male","8"
"","16"
"Gurung",""
"Female","8"
"Male","11"
"","19"
"Kami",""
"Female","442"
"Male","343"
"","785"
"Magar",""
"Female","8455"
"Male","6516"
"","14971"
"Newar",""
"Female","481"
"Male","374"
"","855"
"Others",""
"Female","21"
"Male","23"
"","44"
"Sanyasi/Dasnami",""
"Female","24"
"Male","16"
"","40"
"Sarki",""
"Female","452"
"Male","271"
"","723"
"Thakuri",""
"Female","27"
"Male","22"
"","49"
