"Population by Caste Ethinicity","Number"
"Badi",""
"Female","21"
"Male","26"
"","47"
"Brahman - Hill",""
"Female","236"
"Male","187"
"","423"
"Chhetri",""
"Female","9453"
"Male","8361"
"","17814"
"Dalit Others",""
"Female","1852"
"Male","1610"
"","3462"
"Damai/Dholi",""
"Female","212"
"Male","203"
"","415"
"Kami",""
"Female","701"
"Male","587"
"","1288"
"Newar",""
"Female","22"
"Male","20"
"","42"
"Others",""
"Female","25"
"Male","9"
"","34"
"Sarki",""
"Female","375"
"Male","319"
"","694"
"Thakuri",""
"Female","236"
"Male","215"
"","451"
