"Number of households by type of outer wall","Number"
"BambooWall","785"
"Cement Bonded Bricks/Stone Wall","4848"
"Mud Bonded Bricks/Stone Wall","3493"
"Not Stated about Wall","116"
"Other Type Wall","308"
"Unbaked Bricks","37"
"Wood/Planks","5328"
"Total","14915"
