"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","448"
"Christianity","1190"
"Hindu","77874"
"Islam","152"
"Jainism","0"
"Kirat","8"
"Prakriti","1"
"Sikhism","0"
"Undefined","12"
"Total","79686"
