"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","59"
"Male","107"
"","166"
"Gurung",""
"Female","29"
"Male","21"
"","50"
"Lapcha",""
"Female","344"
"Male","202"
"","546"
"Magar",""
"Female","60"
"Male","44"
"","104"
"Maithili",""
"Female","12"
"Male","43"
"","55"
"Nepali",""
"Female","7539"
"Male","6662"
"","14201"
"Newar",""
"Female","4022"
"Male","3537"
"","7559"
"Not Reported",""
"Female","15"
"Male","21"
"","36"
"Others",""
"Female","18"
"Male","24"
"","42"
"Rai",""
"Female","7"
"Male","4"
"","11"
"Sign Language",""
"Female","8"
"Male","4"
"","12"
"Tamang",""
"Female","9686"
"Male","9117"
"","18803"
"Tharu",""
"Female","9"
"Male","17"
"","26"
"Urdu",""
"Female","4"
"Male","8"
"","12"
