"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","59"
"Cow Dung","6"
"Electricity Fuel","11"
"KeroseneFuel","67"
"LP Gas","764"
"Not Sated about Fuel","16"
"OthersFuel","10"
"Wood/FireWood","7995"
"Total","8928"
