"Population by Mother tongue","Number"
"Bajjika",""
"Female","1924"
"Male","1834"
"","3758"
"Bhojpuri",""
"Female","36"
"Male","36"
"","72"
"Bhujel",""
"Female","30"
"Male","22"
"","52"
"Danuwar",""
"Female","282"
"Male","295"
"","577"
"Gurung",""
"Female","15"
"Male","12"
"","27"
"Hindi",""
"Female","263"
"Male","260"
"","523"
"Magahi",""
"Female","148"
"Male","143"
"","291"
"Magar",""
"Female","578"
"Male","575"
"","1153"
"Maithili",""
"Female","3152"
"Male","3209"
"","6361"
"Majhi",""
"Female","10"
"Male","17"
"","27"
"Nepali",""
"Female","9223"
"Male","8600"
"","17823"
"Newar",""
"Female","344"
"Male","327"
"","671"
"Not Reported",""
"Female","158"
"Male","145"
"","303"
"Others",""
"Female","18"
"Male","9"
"","27"
"Rai",""
"Female","44"
"Male","55"
"","99"
"Sunuwar",""
"Female","55"
"Male","58"
"","113"
"Tamang",""
"Female","4693"
"Male","4355"
"","9048"
"Thami",""
"Female","31"
"Male","26"
"","57"
"Tharu",""
"Female","10"
"Male","8"
"","18"
"Urdu",""
"Female","1515"
"Male","1409"
"","2924"
