"Number of households by type of outer wall","Number"
"BambooWall","4504"
"Cement Bonded Bricks/Stone Wall","2154"
"Mud Bonded Bricks/Stone Wall","174"
"Not Stated about Wall","119"
"Other Type Wall","28"
"Unbaked Bricks","5"
"Wood/Planks","1617"
"Total","8601"
