"Population by Five Years Age Group","Number"
"0-4",""
"Female","156"
"Male","150"
"10-14",""
"Female","153"
"Male","172"
"15-19",""
"Female","103"
"Male","106"
"20-24",""
"Female","85"
"Male","72"
"25-29",""
"Female","84"
"Male","91"
"30-34",""
"Female","59"
"Male","56"
"35-39",""
"Female","55"
"Male","53"
"40-44",""
"Female","43"
"Male","52"
"45-49",""
"Female","42"
"Male","37"
"50-54",""
"Female","21"
"Male","20"
"55-59",""
"Female","25"
"Male","22"
"5-9",""
"Female","173"
"Male","204"
"60-64",""
"Female","29"
"Male","28"
"65-69",""
"Female","24"
"Male","14"
"70-74",""
"Female","9"
"Male","20"
"75+",""
"Female","15"
"Male","20"
