"Agricultural land use area","Hectare"
"Area under arable land","5854.00"
"Area under meadows and pasture","40.00"
"Area under permanent crops","124.00"
"Area under Temporary crops","5646.00"
"Area under temporary fallow","177.00"
"Area under temporary meadows","31.00"
"Other land","186.00"
"Ponds","0.00"
"Woodland and forest","15.00"
"Total","12073.00"
