"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","909"
"Male","756"
"","1665"
"Chhetri",""
"Female","531"
"Male","423"
"","954"
"Damai/Dholi",""
"Female","158"
"Male","155"
"","313"
"Gharti/Bhujel",""
"Female","5"
"Male","9"
"","14"
"Kami",""
"Female","309"
"Male","286"
"","595"
"Magar",""
"Female","677"
"Male","622"
"","1299"
"Majhi",""
"Female","89"
"Male","84"
"","173"
"Newar",""
"Female","446"
"Male","390"
"","836"
"Others",""
"Female","23"
"Male","20"
"","43"
"Sanyasi/Dasnami",""
"Female","5"
"Male","6"
"","11"
"Sonar",""
"Female","8"
"Male","9"
"","17"
"Tamang",""
"Female","8883"
"Male","7729"
"","16612"
"Thakuri",""
"Female","71"
"Male","76"
"","147"
"Undefined Others",""
"Female","15"
"Male","18"
"","33"
