"Population by Five Years Age Group","Number"
"0-4",""
"Female","1776"
"Male","1814"
"10-14",""
"Female","2817"
"Male","2920"
"15-19",""
"Female","2422"
"Male","2250"
"20-24",""
"Female","1899"
"Male","1472"
"25-29",""
"Female","1720"
"Male","1295"
"30-34",""
"Female","1495"
"Male","1177"
"35-39",""
"Female","1316"
"Male","1232"
"40-44",""
"Female","1074"
"Male","1129"
"45-49",""
"Female","875"
"Male","821"
"50-54",""
"Female","757"
"Male","806"
"55-59",""
"Female","582"
"Male","567"
"5-9",""
"Female","2446"
"Male","2479"
"60-64",""
"Female","606"
"Male","604"
"65-69",""
"Female","397"
"Male","402"
"70-74",""
"Female","295"
"Male","289"
"75+",""
"Female","329"
"Male","336"
