"Number of households by type of outer wall","Number"
"BambooWall","5169"
"Cement Bonded Bricks/Stone Wall","1380"
"Mud Bonded Bricks/Stone Wall","150"
"Not stated","115"
"Others","64"
"Unbaked Bricks","4"
"Wood/Planks","1102"
"Total","7984"
