"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","553"
"Cow Dung","159"
"Electricity","5"
"Kerosene","91"
"LP Gas","342"
"Not stated","67"
"Others","266"
"Wood/Firewood","6501"
"Total","7984"
