"Population by Five Years Age Group","Number"
"0-4",""
"Female","297"
"Male","286"
"10-14",""
"Female","406"
"Male","329"
"15-19",""
"Female","239"
"Male","242"
"20-24",""
"Female","211"
"Male","198"
"25-29",""
"Female","155"
"Male","159"
"30-34",""
"Female","150"
"Male","146"
"35-39",""
"Female","182"
"Male","155"
"40-44",""
"Female","147"
"Male","161"
"45-49",""
"Female","141"
"Male","160"
"50-54",""
"Female","128"
"Male","137"
"55-59",""
"Female","89"
"Male","102"
"5-9",""
"Female","344"
"Male","328"
"60-64",""
"Female","115"
"Male","120"
"65-69",""
"Female","81"
"Male","82"
"70-74",""
"Female","53"
"Male","62"
"75+",""
"Female","55"
"Male","73"
