"Number of households by type of outer wall","Number"
"BambooWall","886"
"Cement Bonded Bricks/Stone Wall","1499"
"Mud Bonded Bricks/Stone Wall","1859"
"Not stated","54"
"Others","1021"
"Unbaked Bricks","136"
"Wood/Planks","215"
"Total","5670"
