"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1026"
"Male","950"
"","1976"
"Brahman - Tarai",""
"Female","48"
"Male","44"
"","92"
"Chhetri",""
"Female","1097"
"Male","1037"
"","2134"
"Damai/Dholi",""
"Female","416"
"Male","373"
"","789"
"Gharti/Bhujel",""
"Female","192"
"Male","168"
"","360"
"Kami",""
"Female","738"
"Male","681"
"","1419"
"Magar",""
"Female","1844"
"Male","1710"
"","3554"
"Majhi",""
"Female","135"
"Male","118"
"","253"
"Newar",""
"Female","436"
"Male","408"
"","844"
"Others",""
"Female","33"
"Male","31"
"","64"
"Rai",""
"Female","476"
"Male","405"
"","881"
"Sanyasi/Dasnami",""
"Female","46"
"Male","39"
"","85"
"Sarki",""
"Female","491"
"Male","424"
"","915"
"Sonar",""
"Female","27"
"Male","22"
"","49"
"Sunuwar",""
"Female","1378"
"Male","1316"
"","2694"
"Tamang",""
"Female","442"
"Male","417"
"","859"
