"Industries Employment","Number"
"Accommodation,  food",""
"Female","60597"
"Male","84493"
"Administrative, support service",""
"Female","10238"
"Male","23326"
"Agriculture, forestry and  fishing",""
"Female","16876"
"Male","26457"
"Arts, entertainment, recreation",""
"Female","3661"
"Male","6605"
"Construction",""
"Female","1200"
"Male","5666"
"Education",""
"Female","77933"
"Male","86025"
"Electricity, gas and water",""
"Female","2231"
"Male","9262"
"Financial intermediation and insurance",""
"Female","45873"
"Male","55825"
"Health, social work",""
"Female","41874"
"Male","28960"
"Information and communication",""
"Female","7178"
"Male","19390"
"Manufacturing",""
"Female","52919"
"Male","108276"
"Other service activities",""
"Female","31162"
"Male","44900"
"Professional, scientific, techniqual activity",""
"Female","6583"
"Male","15564"
"Real estate, renting and business activity",""
"Female","426"
"Male","1107"
"Transportation,  storage",""
"Female","1648"
"Male","6366"
"Water supply, wet management",""
"Female","1556"
"Male","5254"
"Wholesale, retail trade",""
"Female","124594"
"Male","200698"
