"Population by Five Years Age Group","Number"
"0-4",""
"Female","864"
"Male","808"
"10-14",""
"Female","1152"
"Male","1161"
"15-19",""
"Female","1070"
"Male","935"
"20-24",""
"Female","927"
"Male","411"
"25-29",""
"Female","691"
"Male","317"
"30-34",""
"Female","550"
"Male","280"
"35-39",""
"Female","566"
"Male","228"
"40-44",""
"Female","509"
"Male","282"
"45-49",""
"Female","476"
"Male","283"
"50-54",""
"Female","449"
"Male","338"
"55-59",""
"Female","437"
"Male","329"
"5-9",""
"Female","973"
"Male","932"
"60-64",""
"Female","408"
"Male","363"
"65-69",""
"Female","287"
"Male","259"
"70-74",""
"Female","201"
"Male","236"
"75+",""
"Female","319"
"Male","302"
