"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1349"
"Male","1015"
"Chhetri",""
"Female","637"
"Male","493"
"Damai/Dholi",""
"Female","258"
"Male","218"
"Gharti/Bhujel",""
"Female","445"
"Male","332"
"Gurung",""
"Female","412"
"Male","322"
"Kami",""
"Female","841"
"Male","646"
"Magar",""
"Female","4213"
"Male","3165"
"Musalman",""
"Female","28"
"Male","29"
"Newar",""
"Female","1155"
"Male","815"
"Others",""
"Female","25"
"Male","24"
"Sanyasi/Dasnami",""
"Female","8"
"Male","6"
"Sarki",""
"Female","308"
"Male","244"
"Sunuwar",""
"Female","12"
"Male","14"
"Terai Others",""
"Female","14"
"Male","9"
"Thakuri",""
"Female","174"
"Male","132"
