"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","8"
"Cow Dung","11"
"Electricity","0"
"Kerosene","25"
"LP Gas","27"
"Not stated","4"
"Others","0"
"Wood/Firewood","4482"
"Total","4557"
