"Population by Five Years Age Group","Number"
"0-4",""
"Female","1645"
"Male","1704"
"10-14",""
"Female","1954"
"Male","2034"
"15-19",""
"Female","1478"
"Male","1431"
"20-24",""
"Female","1117"
"Male","979"
"25-29",""
"Female","904"
"Male","832"
"30-34",""
"Female","709"
"Male","649"
"35-39",""
"Female","657"
"Male","655"
"40-44",""
"Female","602"
"Male","607"
"45-49",""
"Female","493"
"Male","548"
"50-54",""
"Female","426"
"Male","477"
"55-59",""
"Female","262"
"Male","305"
"5-9",""
"Female","1934"
"Male","1924"
"60-64",""
"Female","267"
"Male","310"
"65-69",""
"Female","196"
"Male","237"
"70-74",""
"Female","191"
"Male","182"
"75+",""
"Female","247"
"Male","236"
