"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","25"
"Male","34"
"Chepang /Praja",""
"Female","4828"
"Male","4971"
"Chhetri",""
"Female","501"
"Male","524"
"Damai/Dholi",""
"Female","78"
"Male","78"
"Gharti/Bhujel",""
"Female","11"
"Male","9"
"Kami",""
"Female","332"
"Male","330"
"Magar",""
"Female","233"
"Male","213"
"Newar",""
"Female","87"
"Male","87"
"Others",""
"Female","36"
"Male","54"
"Sanyasi/Dasnami",""
"Female","6"
"Male","7"
"Sunuwar",""
"Female","17"
"Male","17"
"Tamang",""
"Female","6682"
"Male","6553"
"Thakuri",""
"Female","244"
"Male","221"
"Yadav",""
"Female","2"
"Male","12"
