"Population by Mother tongue","Number"
"Avadhi",""
"Female","64"
"Male","63"
"","127"
"Bhojpuri",""
"Female","28"
"Male","25"
"","53"
"Doteli",""
"Female","11"
"Male","7"
"","18"
"Gurung",""
"Female","63"
"Male","59"
"","122"
"Hindi",""
"Female","433"
"Male","458"
"","891"
"Magar",""
"Female","91"
"Male","98"
"","189"
"Maithili",""
"Female","172"
"Male","161"
"","333"
"Nepali",""
"Female","5879"
"Male","5156"
"","11035"
"Newar",""
"Female","26"
"Male","27"
"","53"
"Others",""
"Female","28"
"Male","22"
"","50"
"Sign Language",""
"Female","6"
"Male","6"
"","12"
"Sonaha",""
"Female","121"
"Male","108"
"","229"
"Tharu",""
"Female","23658"
"Male","22666"
"","46324"
"Urdu",""
"Female","52"
"Male","65"
"","117"
