"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2478"
"Male","2240"
"Chhetri",""
"Female","1909"
"Male","1819"
"Dalit Others",""
"Female","11"
"Male","16"
"Damai/Dholi",""
"Female","349"
"Male","298"
"Danuwar",""
"Female","143"
"Male","131"
"Gharti/Bhujel",""
"Female","400"
"Male","391"
"Gurung",""
"Female","32"
"Male","32"
"Kamar",""
"Female","38"
"Male","42"
"Kami",""
"Female","675"
"Male","648"
"Magar",""
"Female","1701"
"Male","1432"
"Majhi",""
"Female","43"
"Male","57"
"Musalman",""
"Female","37"
"Male","88"
"Newar",""
"Female","1069"
"Male","961"
"Others",""
"Female","25"
"Male","45"
"Rai",""
"Female","31"
"Male","38"
"Sanyasi/Dasnami",""
"Female","51"
"Male","57"
"Sarki",""
"Female","1219"
"Male","1096"
"Sherpa",""
"Female","5"
"Male","16"
"Tamang",""
"Female","2944"
"Male","2797"
"Thakuri",""
"Female","140"
"Male","119"
"Tharu",""
"Female","6"
"Male","10"
"Undefined Others",""
"Female","7"
"Male","9"
