"Population by Five Years Age Group","Number"
"0-4",""
"Female","1070"
"Male","1113"
"10-14",""
"Female","1953"
"Male","1841"
"15-19",""
"Female","1682"
"Male","1443"
"20-24",""
"Female","1201"
"Male","1012"
"25-29",""
"Female","972"
"Male","948"
"30-34",""
"Female","843"
"Male","826"
"35-39",""
"Female","766"
"Male","713"
"40-44",""
"Female","653"
"Male","646"
"45-49",""
"Female","578"
"Male","537"
"50-54",""
"Female","516"
"Male","609"
"55-59",""
"Female","341"
"Male","450"
"5-9",""
"Female","1599"
"Male","1514"
"60-64",""
"Female","297"
"Male","339"
"65-69",""
"Female","279"
"Male","302"
"70-74",""
"Female","214"
"Male","192"
"75+",""
"Female","370"
"Male","396"
