"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","140"
"Cow Dung","0"
"Electricity","10"
"Kerosene","37"
"LP Gas","541"
"Not stated","25"
"Others","5"
"Wood/Firewood","4652"
"Total","5410"
