"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","7757"
"Mud Roof","0"
"Not Sated Roof","1456"
"Other Type of Roof","328"
"RCC Roof","16414"
"Thatch/Straw Roof","42892"
"Tile/Slate Roof","48031"
"Wood/Planks Roof","1051"
"Total","117929"
