"Population by Mother tongue","Number"
"Bajjika",""
"Female","6"
"Male","5"
"","11"
"Bangla",""
"Female","96"
"Male","116"
"","212"
"Bhojpuri",""
"Female","139"
"Male","135"
"","274"
"Chamling",""
"Female","33"
"Male","26"
"","59"
"Danuwar",""
"Female","766"
"Male","748"
"","1514"
"Doteli",""
"Female","149"
"Male","149"
"","298"
"Gurung",""
"Female","15"
"Male","15"
"","30"
"Hindi",""
"Female","325"
"Male","251"
"","576"
"Hyolmo/Yholmo",""
"Female","8"
"Male","3"
"","11"
"Khaling",""
"Female","4"
"Male","8"
"","12"
"Lapcha",""
"Female","10"
"Male","14"
"","24"
"Limbu",""
"Female","113"
"Male","108"
"","221"
"Magahi",""
"Female","129"
"Male","103"
"","232"
"Magar",""
"Female","2676"
"Male","2513"
"","5189"
"Maithili",""
"Female","280332"
"Male","265694"
"","546026"
"Meche",""
"Female","8"
"Male","7"
"","15"
"Musalman",""
"Female","101"
"Male","97"
"","198"
"Nepali",""
"Female","13726"
"Male","12990"
"","26716"
"Newar",""
"Female","629"
"Male","625"
"","1254"
"Not Reported",""
"Female","1404"
"Male","1369"
"","2773"
"Others",""
"Female","399"
"Male","238"
"","637"
"Rai",""
"Female","333"
"Male","279"
"","612"
"Rajsthani",""
"Female","191"
"Male","212"
"","403"
"Sign Language",""
"Female","12"
"Male","14"
"","26"
"Sunuwar",""
"Female","651"
"Male","614"
"","1265"
"Tamang",""
"Female","3100"
"Male","2959"
"","6059"
"Thami",""
"Female","6"
"Male","7"
"","13"
"Tharu",""
"Female","8979"
"Male","8244"
"","17223"
"Uranw/Urau",""
"Female","443"
"Male","393"
"","836"
"Urdu",""
"Female","12317"
"Male","10562"
"","22879"
"Wambule",""
"Female","16"
"Male","13"
"","29"
