"Agricultural land use area","Hectare"
"Area under arable land","71982.00"
"Area under meadows and pasture","108.00"
"Area under permanent crops","3592.00"
"Area under Temporary crops","71657.00"
"Area under temporary fallow","250.00"
"Area under temporary meadows","75.00"
"Other land","2757.00"
"Ponds","212.00"
"Woodland and forest","147.00"
"Total","150780.00"
