"Population by Five Years Age Group","Number"
"0-4",""
"Female","1042"
"Male","1060"
"10-14",""
"Female","1090"
"Male","1028"
"15-19",""
"Female","829"
"Male","738"
"20-24",""
"Female","711"
"Male","522"
"25-29",""
"Female","537"
"Male","461"
"30-34",""
"Female","450"
"Male","431"
"35-39",""
"Female","383"
"Male","365"
"40-44",""
"Female","329"
"Male","286"
"45-49",""
"Female","306"
"Male","293"
"50-54",""
"Female","246"
"Male","279"
"55-59",""
"Female","192"
"Male","199"
"5-9",""
"Female","1043"
"Male","1080"
"60-64",""
"Female","213"
"Male","190"
"65-69",""
"Female","137"
"Male","136"
"70-74",""
"Female","72"
"Male","106"
"75+",""
"Female","108"
"Male","94"
