"Population by Five Years Age Group","Number"
"0-4",""
"Female","2600"
"Male","2582"
"10-14",""
"Female","2747"
"Male","2984"
"15-19",""
"Female","1738"
"Male","1905"
"20-24",""
"Female","1619"
"Male","1506"
"25-29",""
"Female","1501"
"Male","1419"
"30-34",""
"Female","1444"
"Male","1314"
"35-39",""
"Female","1170"
"Male","1171"
"40-44",""
"Female","973"
"Male","1017"
"45-49",""
"Female","834"
"Male","803"
"50-54",""
"Female","630"
"Male","760"
"55-59",""
"Female","560"
"Male","540"
"5-9",""
"Female","3244"
"Male","3209"
"60-64",""
"Female","559"
"Male","592"
"65-69",""
"Female","426"
"Male","467"
"70-74",""
"Female","284"
"Male","349"
"75+",""
"Female","238"
"Male","250"
