"Population by Mother tongue","Number"
"Bajjika",""
"Female","11302"
"Male","12021"
"Bhojpuri",""
"Female","844"
"Male","800"
"Doteli",""
"Female","125"
"Male","147"
"Ganagai",""
"Female","117"
"Male","130"
"Hindi",""
"Female","5"
"Male","9"
"Magar",""
"Female","8"
"Male","6"
"Maithili",""
"Female","418"
"Male","439"
"Nepali",""
"Female","498"
"Male","444"
"Not Reported",""
"Female","56"
"Male","42"
"Others",""
"Female","15"
"Male","13"
"Rai",""
"Female","9"
"Male","2"
"Sign Language",""
"Female","8"
"Male","14"
"Tajpuriya",""
"Female","21"
"Male","25"
"Urdu",""
"Female","6994"
"Male","6630"
"Yakkha",""
"Female","147"
"Male","146"
