"Number of households by type of outer wall","Number"
"BambooWall","14332"
"Cement Bonded Bricks/Stone Wall","28024"
"Mud Bonded Bricks/Stone Wall","11060"
"Not Stated about Wall","561"
"Other Type Wall","5085"
"Unbaked Bricks","591"
"Wood/Planks","2192"
"Total","61845"
