"Agricultural land use area","Hectare"
"Area under arable land","32572.00"
"Area under meadows and pasture","18.00"
"Area under permanent crops","299.00"
"Area under Temporary crops","32403.00"
"Area under temporary fallow","158.00"
"Area under temporary meadows","12.00"
"Other land","1462.00"
"Ponds","6.00"
"Woodland and forest","133.00"
"Total","67063.00"
