"Population by Caste Ethinicity","Number"
"Badi",""
"Female","5"
"Male","7"
"","12"
"Brahman - Hill",""
"Female","1112"
"Male","968"
"","2080"
"Chhetri",""
"Female","3240"
"Male","2448"
"","5688"
"Damai/Dholi",""
"Female","532"
"Male","389"
"","921"
"Gharti/Bhujel",""
"Female","53"
"Male","49"
"","102"
"Gurung",""
"Female","59"
"Male","63"
"","122"
"Kami",""
"Female","3055"
"Male","2490"
"","5545"
"Kumal",""
"Female","81"
"Male","60"
"","141"
"Lhomi",""
"Female","100"
"Male","64"
"","164"
"Magar",""
"Female","7367"
"Male","6179"
"","13546"
"Musalman",""
"Female","7"
"Male","12"
"","19"
"Newar",""
"Female","11"
"Male","3"
"","14"
"Others",""
"Female","16"
"Male","13"
"","29"
"Sanyasi/Dasnami",""
"Female","727"
"Male","612"
"","1339"
"Sarki",""
"Female","22"
"Male","21"
"","43"
"Terai Others",""
"Female","6"
"Male","6"
"","12"
"Thakali",""
"Female","68"
"Male","60"
"","128"
"Thakuri",""
"Female","211"
"Male","176"
"","387"
