"Agricultural land use area","Hectare"
"Area under arable land","13436.00"
"Area under meadows and pasture","595.00"
"Area under permanent crops","650.00"
"Area under Temporary crops","12611.00"
"Area under temporary fallow","601.00"
"Area under temporary meadows","223.00"
"Other land","751.00"
"Ponds","1.00"
"Woodland and forest","695.00"
"Total","29563.00"
