"Population by Five Years Age Group","Number"
"0-4",""
"Female","1111"
"Male","1034"
"10-14",""
"Female","1443"
"Male","1427"
"15-19",""
"Female","963"
"Male","1201"
"20-24",""
"Female","877"
"Male","1033"
"25-29",""
"Female","953"
"Male","859"
"30-34",""
"Female","754"
"Male","768"
"35-39",""
"Female","645"
"Male","805"
"40-44",""
"Female","497"
"Male","611"
"45-49",""
"Female","483"
"Male","504"
"50-54",""
"Female","344"
"Male","453"
"55-59",""
"Female","261"
"Male","324"
"5-9",""
"Female","1275"
"Male","1348"
"60-64",""
"Female","282"
"Male","283"
"65-69",""
"Female","197"
"Male","206"
"70-74",""
"Female","114"
"Male","154"
"75+",""
"Female","182"
"Male","139"
