"Industries Types","Number"
"Accommodation and food","24269"
"Administrative and support service activity","964"
"Agriculture, forestry and fishing","4406"
"Art, entertainment and recreation","474"
"Construction","278"
"Education","7867"
"Electricty gas and water","268"
"Financial intermediation and insurance","3235"
"Health and social work","3972"
"Information and communications","392"
"Manufacturing","19380"
"Mining and quarrying","60"
"Other service activities","11456"
"Professional,scientific and techniqual activity","1392"
"Real state, renting and business activities","30"
"Transport and storage","676"
"Water supply, wet management","375"
"Wholesale and retail trade","89024"
"Total","168518"
