"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","1"
"Cow Dung","0"
"Electricity Fuel","3"
"KeroseneFuel","9"
"LP Gas","36"
"Not Sated about Fuel","3"
"OthersFuel","2"
"Wood/FireWood","3822"
"Total","3876"
