"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","4"
"Cow Dung","2237"
"Electricity Fuel","2"
"KeroseneFuel","76"
"LP Gas","70"
"Not Sated about Fuel","95"
"OthersFuel","63"
"Wood/FireWood","5226"
"Total","7773"
