"Number of households by type of outer wall","Number"
"BambooWall","4431"
"Cement Bonded Bricks/Stone Wall","2298"
"Mud Bonded Bricks/Stone Wall","449"
"Not Stated about Wall","106"
"Other Type Wall","84"
"Unbaked Bricks","77"
"Wood/Planks","328"
"Total","7773"
