"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","8"
"Cow Dung","6667"
"Electricity Fuel","2"
"KeroseneFuel","48"
"LP Gas","92"
"Not Sated about Fuel","186"
"OthersFuel","65"
"Wood/FireWood","1603"
"Total","8671"
