"Number of households by type of outer wall","Number"
"BambooWall","6552"
"Cement Bonded Bricks/Stone Wall","1471"
"Mud Bonded Bricks/Stone Wall","253"
"Not Stated about Wall","240"
"Other Type Wall","21"
"Unbaked Bricks","20"
"Wood/Planks","114"
"Total","8671"
