"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","20"
"Male","20"
"Hindi",""
"Female","9"
"Male","8"
"Limbu",""
"Female","10"
"Male","7"
"Magar",""
"Female","17"
"Male","22"
"Maithili",""
"Female","11818"
"Male","10930"
"Mewahang",""
"Female","7"
"Male","8"
"Nepali",""
"Female","453"
"Male","461"
"Not Reported",""
"Female","56"
"Male","45"
"Others",""
"Female","18"
"Male","18"
"Rai",""
"Female","9"
"Male","8"
"Tamang",""
"Female","13"
"Male","15"
"Tharu",""
"Female","5598"
"Male","4853"
"Urdu",""
"Female","409"
"Male","381"
