"Number of households by type of outer wall","Number"
"BambooWall","4870"
"Cement Bonded Bricks/Stone Wall","1422"
"Mud Bonded Bricks/Stone Wall","282"
"Not stated","84"
"Others","56"
"Unbaked Bricks","15"
"Wood/Planks","35"
"Total","6764"
