"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","83"
"Cow Dung","15"
"Electricity Fuel","4"
"KeroseneFuel","11"
"LP Gas","239"
"Not Sated about Fuel","40"
"OthersFuel","6"
"Wood/FireWood","8427"
"Total","8825"
