"Population by Religion","Number"
"Bahai","1"
"Bon","1"
"Buddism","5573"
"Christianity","263"
"Hindu","39328"
"Islam","18"
"Jainism","0"
"Kirat","4"
"Prakriti","263"
"Sikhism","0"
"Undefined","163"
"Total","45614"
