"Population by Mother tongue","Number"
"Bangla",""
"Female","6"
"Male","18"
"Bhojpuri",""
"Female","81"
"Male","326"
"Ghale",""
"Female","94"
"Male","78"
"Gurung",""
"Female","1000"
"Male","693"
"Hindi",""
"Female","45"
"Male","66"
"Kumal",""
"Female","443"
"Male","367"
"Limbu",""
"Female","6"
"Male","6"
"Magar",""
"Female","570"
"Male","396"
"Maithili",""
"Female","23"
"Male","35"
"Nepali",""
"Female","23514"
"Male","18744"
"Newar",""
"Female","236"
"Male","169"
"Not Reported",""
"Female","13"
"Male","16"
"Others",""
"Female","27"
"Male","25"
"Rai",""
"Female","11"
"Male","25"
"Sunuwar",""
"Female","3"
"Male","10"
"Tamang",""
"Female","407"
"Male","356"
"Tharu",""
"Female","18"
"Male","36"
"Urdu",""
"Female","816"
"Male","593"
